"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2024","106.53","106.67","106.91","106.11","","-0.15%"
"11/10/2024","106.69","104.95","107.06","104.93","","1.61%"
"11/03/2024","105.00","104.32","105.44","103.37","","0.69%"
"10/27/2024","104.28","104.32","104.64","103.68","","0.02%"
"10/20/2024","104.26","103.46","104.57","103.42","","0.74%"
"10/13/2024","103.49","102.92","103.87","102.93","","0.58%"
"10/06/2024","102.89","102.49","103.18","102.29","","0.36%"
"09/29/2024","102.52","100.42","102.69","100.18","","2.13%"
"09/22/2024","100.38","100.74","101.23","100.16","","-0.34%"
"09/15/2024","100.72","101.03","101.47","100.22","","-0.39%"
"09/08/2024","101.11","101.19","101.84","100.88","","-0.08%"
"09/01/2024","101.19","101.73","101.92","100.59","","-0.54%"
"08/25/2024","101.73","100.68","101.78","100.51","","1.05%"
"08/18/2024","100.68","102.40","102.48","100.60","","-1.68%"
"08/11/2024","102.40","103.15","103.31","102.27","","-0.71%"
"08/04/2024","103.14","103.22","103.54","102.16","","-0.07%"
"07/28/2024","103.21","104.33","104.80","103.13","","-1.06%"
"07/21/2024","104.32","104.36","104.56","104.08","","-0.08%"
"07/14/2024","104.40","104.08","104.51","103.65","","0.29%"
"07/07/2024","104.09","104.88","105.21","104.04","","-0.75%"
"06/30/2024","104.88","105.85","106.05","104.82","","-0.94%"
"06/23/2024","105.87","105.83","106.13","105.37","","0.07%"
"06/16/2024","105.80","105.51","105.92","105.13","","0.23%"
"06/09/2024","105.55","104.93","105.81","104.26","","0.63%"
"06/02/2024","104.89","104.63","104.95","103.99","","0.20%"
"05/26/2024","104.67","104.75","105.18","104.33","","-0.05%"
"05/19/2024","104.72","104.50","105.12","104.39","","0.27%"
"05/12/2024","104.44","105.31","105.46","104.08","","-0.81%"
"05/05/2024","105.30","105.08","105.74","104.87","","0.26%"
"04/28/2024","105.03","106.09","106.49","104.52","","-0.86%"
"04/21/2024","105.94","106.12","106.39","105.41","","-0.20%"
"04/14/2024","106.15","106.01","106.52","105.74","","0.11%"
"04/07/2024","106.04","104.29","106.11","103.88","","1.67%"
"03/31/2024","104.30","104.49","105.10","103.92","","-0.24%"
"03/24/2024","104.55","104.43","104.73","104.01","","0.07%"
"03/17/2024","104.47","103.45","104.50","103.17","","1.01%"
"03/10/2024","103.43","102.74","103.49","102.64","","0.70%"
"03/03/2024","102.71","103.89","103.96","102.36","","-1.11%"
"02/25/2024","103.86","103.96","104.29","103.61","","-0.07%"
"02/18/2024","103.94","104.28","104.41","103.43","","-0.35%"
"02/11/2024","104.30","104.08","104.98","103.89","","0.18%"
"02/04/2024","104.11","103.96","104.60","103.94","","0.18%"
"01/28/2024","103.92","103.47","104.04","102.90","","0.47%"
"01/21/2024","103.43","103.24","103.82","102.77","","0.14%"
"01/14/2024","103.29","102.44","103.69","102.31","","0.86%"
"01/07/2024","102.40","102.43","102.76","102.07","","-0.01%"
"12/31/2023","102.41","101.42","103.10","101.34","","1.06%"
"12/24/2023","101.33","101.65","101.77","100.62","","-0.36%"
"12/17/2023","101.70","102.59","102.63","101.43","","-0.83%"
"12/10/2023","102.55","103.98","104.26","101.77","","-1.40%"
"12/03/2023","104.01","103.19","104.26","103.06","","0.72%"
"11/26/2023","103.27","103.42","103.72","102.47","","-0.13%"
"11/19/2023","103.40","103.82","104.21","103.18","","-0.49%"
"11/12/2023","103.92","105.80","105.96","103.81","","-1.84%"
"11/05/2023","105.86","105.07","106.01","104.85","","0.80%"
"10/29/2023","105.02","106.58","107.11","104.94","","-1.44%"
"10/22/2023","106.56","106.16","106.89","105.36","","0.37%"
"10/15/2023","106.16","106.58","106.67","105.97","","-0.45%"
"10/08/2023","106.65","106.10","106.79","105.54","","0.57%"
"10/01/2023","106.04","106.17","107.35","105.95","","-0.17%"
"09/24/2023","106.22","105.57","106.84","105.52","","0.61%"
"09/17/2023","105.58","105.30","105.78","104.67","","0.25%"
"09/10/2023","105.32","105.06","105.43","104.42","","0.22%"
"09/03/2023","105.09","104.26","105.16","104.03","","0.82%"
"08/27/2023","104.24","104.19","104.36","102.94","","0.15%"
"08/20/2023","104.08","103.43","104.45","103.01","","0.68%"
"08/13/2023","103.38","102.85","103.68","102.77","","0.52%"
"08/06/2023","102.84","101.99","102.91","101.78","","0.81%"
"07/30/2023","102.02","101.89","102.84","101.74","","0.39%"
"07/23/2023","101.62","101.05","102.04","100.55","","0.55%"
"07/16/2023","101.07","99.96","101.19","99.59","","1.16%"
"07/09/2023","99.91","102.29","102.56","99.58","","-2.31%"
"07/02/2023","102.27","102.93","103.57","102.23","","-0.62%"
"06/25/2023","102.91","102.87","103.54","102.32","","0.01%"
"06/18/2023","102.90","102.30","103.17","101.92","","0.65%"
"06/11/2023","102.24","103.55","103.76","102.01","","-1.27%"
"06/04/2023","103.56","104.04","104.40","103.29","","-0.44%"
"05/28/2023","104.01","104.24","104.70","103.38","","-0.18%"
"05/21/2023","104.21","103.19","104.42","102.96","","0.98%"
"05/14/2023","103.20","102.71","103.62","102.20","","0.50%"
"05/07/2023","102.68","101.28","102.71","101.04","","1.45%"
"04/30/2023","101.21","101.67","102.40","101.03","","-0.44%"
"04/23/2023","101.66","101.72","102.17","101.01","","-0.16%"
"04/16/2023","101.82","101.58","102.23","101.53","","0.27%"
"04/09/2023","101.55","102.10","102.81","100.79","","-0.53%"
"04/02/2023","102.09","102.59","103.06","101.42","","-0.40%"
"03/26/2023","102.51","103.11","103.23","102.05","","-0.59%"
"03/19/2023","103.12","103.86","103.96","101.92","","-0.57%"
"03/12/2023","103.71","104.64","105.10","103.44","","-0.83%"
"03/05/2023","104.58","104.53","105.88","104.04","","0.05%"
"02/26/2023","104.52","105.26","105.36","104.09","","-0.66%"
"02/19/2023","105.21","103.88","105.32","103.76","","1.30%"
"02/12/2023","103.86","103.58","104.67","102.59","","0.22%"
"02/05/2023","103.63","103.10","103.96","102.64","","0.69%"
"01/29/2023","102.92","101.92","103.01","100.82","","0.97%"
"01/22/2023","101.93","101.99","102.43","101.50","","-0.08%"
"01/15/2023","102.01","102.18","102.90","101.53","","-0.19%"
"01/08/2023","102.20","103.91","103.93","101.99","","-1.61%"
"01/01/2023","103.88","103.66","105.63","103.47","","0.34%"
"12/25/2022","103.52","104.12","104.56","103.39","","-0.76%"
"12/18/2022","104.31","104.84","104.93","103.75","","-0.37%"
"12/11/2022","104.70","104.93","105.25","103.45","","-0.10%"
"12/04/2022","104.81","104.51","105.82","104.11","","0.25%"
"11/27/2022","104.54","106.06","107.19","104.38","","-1.33%"
"11/20/2022","105.96","106.97","107.99","105.63","","-0.91%"
"11/13/2022","106.93","106.42","107.27","105.34","","0.60%"
"11/06/2022","106.29","110.79","111.27","106.28","","-4.14%"
"10/30/2022","110.88","110.67","113.15","110.43","","0.11%"
"10/23/2022","110.75","111.88","112.53","109.54","","-1.12%"
"10/16/2022","112.01","113.22","113.94","111.70","","-1.15%"
"10/09/2022","113.31","112.75","113.92","112.15","","0.46%"
"10/02/2022","112.79","112.17","112.88","110.06","","0.60%"
"09/25/2022","112.12","113.02","114.78","111.58","","-0.95%"
"09/18/2022","113.19","109.64","113.23","109.36","","3.12%"
"09/11/2022","109.76","108.60","110.26","107.68","","0.70%"
"09/04/2022","109.00","109.61","110.79","108.36","","-0.48%"
"08/28/2022","109.53","108.84","109.98","108.29","","0.67%"
"08/21/2022","108.80","108.10","109.27","107.59","","0.59%"
"08/14/2022","108.17","105.67","108.21","105.55","","2.40%"
"08/07/2022","105.63","106.58","106.80","104.64","","-0.93%"
"07/31/2022","106.62","105.83","106.93","105.05","","0.68%"
"07/24/2022","105.90","106.54","107.43","105.54","","-0.77%"
"07/17/2022","106.73","107.98","108.04","106.11","","-1.23%"
"07/10/2022","108.06","106.89","109.29","106.92","","0.99%"
"07/03/2022","107.01","105.12","107.79","104.82","","1.78%"
"06/26/2022","105.14","104.12","105.64","103.67","","0.91%"
"06/19/2022","104.18","104.65","104.95","103.86","","-0.49%"
"06/12/2022","104.70","104.19","105.79","103.42","","0.53%"
"06/05/2022","104.15","102.17","104.23","101.85","","1.97%"
"05/29/2022","102.14","101.64","102.73","101.30","","0.46%"
"05/22/2022","101.67","103.03","103.05","101.43","","-1.44%"
"05/15/2022","103.15","104.46","104.64","102.66","","-1.35%"
"05/08/2022","104.56","103.66","105.00","103.37","","0.87%"
"05/01/2022","103.66","103.21","104.06","102.35","","0.68%"
"04/24/2022","102.96","101.12","103.93","101.04","","1.72%"
"04/17/2022","101.22","100.50","101.33","99.82","","0.90%"
"04/10/2022","100.32","99.84","100.76","99.57","","0.53%"
"04/03/2022","99.80","98.57","100.19","98.52","","1.18%"
"03/27/2022","98.63","98.81","99.37","97.68","","-0.16%"
"03/20/2022","98.79","98.24","98.96","98.16","","0.57%"
"03/13/2022","98.23","99.13","99.29","97.73","","-0.90%"
"03/06/2022","99.12","98.51","99.42","97.71","","0.48%"
"02/27/2022","98.65","96.54","98.92","96.54","","2.10%"
"02/20/2022","96.61","96.11","97.74","95.69","","0.60%"
"02/13/2022","96.04","96.03","96.43","95.68","","-0.04%"
"02/06/2022","96.08","95.48","96.11","95.17","","0.63%"
"01/30/2022","95.49","97.22","97.30","95.14","","-1.84%"
"01/23/2022","97.27","95.64","97.44","95.63","","1.70%"
"01/16/2022","95.64","95.17","95.86","95.04","","0.50%"
"01/09/2022","95.17","95.74","96.23","94.63","","-0.58%"
"01/02/2022","95.72","95.67","96.46","95.63","","-0.26%"
"12/26/2021","95.97","96.15","96.39","95.57","","-0.05%"
"12/19/2021","96.02","96.67","96.69","95.99","","-0.57%"
"12/12/2021","96.57","96.05","96.91","95.85","","0.49%"
"12/05/2021","96.10","96.15","96.59","95.85","","-0.02%"
"11/28/2021","96.12","96.07","96.64","95.52","","0.03%"
"11/21/2021","96.09","96.07","96.94","95.75","","0.06%"
"11/14/2021","96.03","95.12","96.24","94.97","","0.95%"
"11/07/2021","95.13","94.25","95.26","93.88","","0.86%"
"10/31/2021","94.32","94.13","94.62","93.82","","0.21%"
"10/24/2021","94.12","93.66","94.30","93.28","","0.51%"
"10/17/2021","93.64","93.95","94.17","93.50","","-0.31%"
"10/10/2021","93.94","94.10","94.56","93.76","","-0.14%"
"10/03/2021","94.07","94.07","94.45","93.68","","0.03%"
"09/26/2021","94.04","93.28","94.50","93.21","","0.76%"
"09/19/2021","93.33","93.25","93.52","92.98","","0.14%"
"09/12/2021","93.19","92.61","93.25","92.32","","0.66%"
"09/05/2021","92.58","92.12","92.86","92.04","","0.59%"
"08/29/2021","92.04","92.68","92.79","91.95","","-0.70%"
"08/22/2021","92.69","93.46","93.50","92.63","","-0.87%"
"08/15/2021","93.50","92.52","93.73","92.48","","1.06%"
"08/08/2021","92.52","92.78","93.19","92.47","","-0.30%"
"08/01/2021","92.80","92.09","92.84","91.82","","0.68%"
"07/25/2021","92.17","92.91","92.96","91.78","","-0.79%"
"07/18/2021","92.91","92.71","93.19","92.51","","0.24%"
"07/11/2021","92.69","92.10","92.83","92.08","","0.60%"
"07/04/2021","92.13","92.24","92.85","92.00","","-0.10%"
"06/27/2021","92.23","91.81","92.74","91.70","","0.41%"
"06/20/2021","91.85","92.32","92.37","91.51","","-0.41%"
"06/13/2021","92.22","90.51","92.40","90.35","","1.84%"
"06/06/2021","90.56","90.13","90.61","89.84","","0.46%"
"05/30/2021","90.14","90.06","90.63","89.66","","0.12%"
"05/23/2021","90.03","90.03","90.44","89.54","","0.02%"
"05/16/2021","90.02","90.30","90.43","89.65","","-0.34%"
"05/09/2021","90.32","90.23","90.91","89.98","","0.10%"
"05/02/2021","90.23","91.30","91.44","90.19","","-1.15%"
"04/25/2021","91.28","90.83","91.32","90.42","","0.46%"
"04/18/2021","90.86","91.54","91.75","90.81","","-0.76%"
"04/11/2021","91.56","92.18","92.33","91.49","","-0.66%"
"04/04/2021","92.16","93.01","93.11","92.00","","-0.92%"
"03/28/2021","93.02","92.72","93.44","92.72","","0.28%"
"03/21/2021","92.77","92.07","92.92","91.71","","0.92%"
"03/14/2021","91.92","91.66","92.17","91.30","","0.26%"
"03/07/2021","91.68","91.99","92.50","91.36","","-0.32%"
"02/28/2021","91.98","90.93","92.19","90.63","","1.21%"
"02/21/2021","90.88","90.34","90.97","89.68","","0.57%"
"02/14/2021","90.36","90.45","91.06","90.12","","-0.13%"
"02/07/2021","90.48","91.00","91.24","90.25","","-0.62%"
"01/31/2021","91.04","90.53","91.60","90.50","","0.51%"
"01/24/2021","90.58","90.23","90.88","90.08","","0.38%"
"01/17/2021","90.24","90.78","90.95","90.05","","-0.59%"
"01/10/2021","90.77","90.07","90.80","89.92","","0.75%"
"01/03/2021","90.10","89.93","90.25","89.21","","0.18%"
"12/27/2020","89.94","90.22","90.38","89.52","","-0.43%"
"12/20/2020","90.32","89.92","91.02","89.92","","0.34%"
"12/13/2020","90.02","90.98","90.98","89.73","","-1.06%"
"12/06/2020","90.98","90.81","91.24","90.62","","0.30%"
"11/29/2020","90.70","91.78","92.05","90.48","","-1.19%"
"11/22/2020","91.79","92.40","92.80","91.76","","-0.65%"
"11/15/2020","92.39","92.72","92.84","92.21","","-0.39%"
"11/08/2020","92.75","92.24","93.21","92.13","","0.57%"
"11/01/2020","92.23","93.89","94.30","92.18","","-1.92%"
"10/25/2020","94.04","92.76","94.10","92.74","","1.37%"
"10/18/2020","92.77","93.72","93.77","92.47","","-0.98%"
"10/11/2020","93.68","93.06","93.90","93.01","","0.67%"
"10/04/2020","93.06","93.81","93.90","93.00","","-0.84%"
"09/27/2020","93.84","94.58","94.64","93.53","","-0.84%"
