"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2024","19,645.8","19,733.6","19,733.6","19,609.4","","-0.44%"
"11/14/2024","19,733.6","19,845.4","19,897.9","19,720.8","","-0.56%"
"11/13/2024","19,845.4","19,853.3","19,929.6","19,817.2","","-0.04%"
"11/12/2024","19,853.3","20,015.9","20,015.9","19,799.7","","-0.81%"
"11/11/2024","20,015.9","19,937.1","20,084.5","19,937.1","","0.39%"
"11/08/2024","19,937.1","19,876.1","19,990.3","19,850.3","","0.31%"
"11/07/2024","19,876.1","19,828.0","19,924.1","19,828.0","","0.24%"
"11/06/2024","19,828.0","19,463.8","19,846.6","19,463.8","","1.87%"
"11/05/2024","19,463.8","19,243.4","19,464.3","19,243.4","","1.15%"
"11/04/2024","19,243.4","19,253.5","19,337.9","19,196.4","","-0.05%"
"11/01/2024","19,253.5","19,238.9","19,423.2","19,238.9","","0.08%"
"10/31/2024","19,238.9","19,416.3","19,416.3","19,236.6","","-0.91%"
"10/30/2024","19,416.3","19,456.7","19,506.1","19,362.4","","-0.21%"
"10/29/2024","19,456.7","19,549.7","19,549.7","19,452.7","","-0.48%"
"10/28/2024","19,549.7","19,456.3","19,575.9","19,456.3","","0.48%"
"10/25/2024","19,456.3","19,560.7","19,648.7","19,438.8","","-0.53%"
"10/24/2024","19,560.7","19,594.2","19,620.0","19,496.2","","-0.17%"
"10/23/2024","19,594.2","19,653.4","19,653.4","19,493.4","","-0.30%"
"10/22/2024","19,653.4","19,720.3","19,720.3","19,579.8","","-0.34%"
"10/21/2024","19,720.3","19,884.8","19,884.8","19,690.3","","-0.83%"
"10/18/2024","19,884.8","19,855.3","19,905.7","19,809.0","","0.15%"
"10/17/2024","19,855.3","19,825.5","19,901.5","19,825.5","","0.15%"
"10/16/2024","19,825.5","19,678.7","19,838.3","19,678.7","","0.75%"
"10/15/2024","19,678.7","19,814.6","19,814.6","19,669.8","","-0.69%"
"10/14/2024","19,814.6","19,711.2","19,834.2","19,690.5","","0.52%"
"10/11/2024","19,711.2","19,496.0","19,719.6","19,496.0","","1.10%"
"10/10/2024","19,496.0","19,547.1","19,547.1","19,452.9","","-0.26%"
"10/09/2024","19,547.1","19,435.0","19,560.9","19,388.1","","0.58%"
"10/08/2024","19,435.0","19,432.3","19,452.8","19,370.3","","0.01%"
"10/07/2024","19,432.3","19,538.7","19,538.7","19,367.3","","-0.54%"
"10/04/2024","19,538.7","19,387.7","19,541.0","19,387.7","","0.78%"
"10/03/2024","19,387.7","19,481.8","19,481.8","19,317.2","","-0.48%"
"10/02/2024","19,481.8","19,473.9","19,506.3","19,403.8","","0.04%"
"10/01/2024","19,473.9","19,516.4","19,529.1","19,384.8","","-0.22%"
"09/30/2024","19,516.4","19,501.2","19,526.7","19,352.4","","0.08%"
"09/27/2024","19,501.2","19,501.7","19,597.3","19,484.8","","0.00%"
"09/26/2024","19,501.7","19,381.2","19,527.8","19,381.2","","0.62%"
"09/25/2024","19,381.2","19,506.6","19,528.6","19,363.2","","-0.64%"
"09/24/2024","19,506.6","19,445.4","19,519.3","19,445.4","","0.31%"
"09/23/2024","19,445.4","19,373.7","19,458.8","19,373.7","","0.37%"
"09/20/2024","19,373.7","19,432.4","19,432.4","19,297.9","","-0.30%"
"09/19/2024","19,432.4","19,195.6","19,471.2","19,195.6","","1.23%"
"09/18/2024","19,195.6","19,225.8","19,400.3","19,186.0","","-0.16%"
"09/17/2024","19,225.8","19,256.4","19,331.6","19,176.5","","-0.16%"
"09/16/2024","19,256.4","19,121.5","19,265.2","19,121.5","","0.71%"
