"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2024","19,749.1","19,645.8","19,760.3","19,566.1","","0.53%"
"11/10/2024","19,645.8","19,937.1","20,084.5","19,609.4","","-1.46%"
"11/03/2024","19,937.1","19,253.5","19,990.3","19,196.4","","3.55%"
"10/27/2024","19,253.5","19,456.3","19,575.9","19,236.6","","-1.04%"
"10/20/2024","19,456.3","19,884.8","19,884.8","19,438.8","","-2.15%"
"10/13/2024","19,884.8","19,711.2","19,905.7","19,669.8","","0.88%"
"10/06/2024","19,711.2","19,538.7","19,719.6","19,367.3","","0.88%"
"09/29/2024","19,538.7","19,501.2","19,541.0","19,317.2","","0.19%"
"09/22/2024","19,501.2","19,373.7","19,597.3","19,363.2","","0.66%"
"09/15/2024","19,373.7","19,121.5","19,471.2","19,121.5","","1.32%"
"09/08/2024","19,121.5","18,663.1","19,161.2","18,513.1","","2.46%"
"09/01/2024","18,663.1","19,292.2","19,292.2","18,639.8","","-3.26%"
"08/25/2024","19,292.2","19,093.5","19,298.0","18,985.2","","1.04%"
"08/18/2024","19,093.5","18,753.8","19,099.5","18,753.8","","1.81%"
"08/11/2024","18,753.8","18,267.2","18,769.9","18,177.3","","2.66%"
"08/04/2024","18,267.2","18,162.3","18,305.0","17,561.5","","0.58%"
"07/28/2024","18,162.3","18,564.5","18,841.5","17,991.0","","-2.17%"
"07/21/2024","18,564.5","18,406.1","18,626.9","18,289.7","","0.86%"
"07/14/2024","18,406.1","18,505.9","18,798.9","18,391.4","","-0.54%"
"07/07/2024","18,505.9","18,098.9","18,591.4","18,022.7","","2.25%"
"06/30/2024","18,098.9","18,026.5","18,138.3","17,928.8","","0.40%"
"06/23/2024","18,026.5","17,995.7","18,189.4","17,940.0","","0.17%"
"06/16/2024","17,995.7","17,817.3","18,049.5","17,762.0","","1.00%"
"06/09/2024","17,817.3","17,985.6","18,144.7","17,713.5","","-0.94%"
"06/02/2024","17,985.6","18,083.7","18,105.9","17,843.4","","-0.54%"
"05/26/2024","18,083.7","18,110.6","18,116.1","17,780.1","","-0.15%"
"05/19/2024","18,110.6","18,388.3","18,421.9","18,005.1","","-1.51%"
"05/12/2024","18,388.3","18,162.1","18,389.8","18,128.7","","1.25%"
"05/05/2024","18,162.1","17,797.9","18,213.6","17,797.9","","2.05%"
"04/28/2024","17,797.9","17,763.3","17,844.0","17,539.8","","0.19%"
"04/21/2024","17,763.3","17,458.8","17,810.4","17,452.4","","1.74%"
"04/14/2024","17,458.8","17,639.0","17,827.3","17,336.8","","-1.02%"
"04/07/2024","17,639.0","18,122.3","18,233.2","17,593.5","","-2.67%"
"03/31/2024","18,122.3","18,312.7","18,315.2","17,956.8","","-1.04%"
"03/24/2024","18,312.7","18,112.0","18,342.2","18,059.2","","1.11%"
"03/17/2024","18,112.0","17,848.1","18,272.7","17,846.1","","1.48%"
"03/10/2024","17,848.1","17,889.6","18,064.1","17,755.0","","-0.23%"
"03/03/2024","17,889.6","17,728.3","18,021.9","17,613.5","","0.91%"
"02/25/2024","17,728.3","17,616.0","17,738.1","17,530.6","","0.64%"
"02/18/2024","17,616.0","17,409.3","17,642.1","17,278.1","","1.19%"
"02/11/2024","17,409.3","17,275.9","17,502.5","16,965.9","","0.77%"
"02/04/2024","17,275.9","17,102.0","17,286.5","16,932.6","","1.02%"
"01/28/2024","17,102.0","16,949.1","17,167.7","16,906.2","","0.90%"
"01/21/2024","16,949.1","16,729.5","16,970.9","16,729.5","","1.31%"
"01/14/2024","16,729.5","16,799.5","16,799.5","16,462.9","","-0.42%"
"01/07/2024","16,799.6","16,758.2","16,909.2","16,673.0","","0.25%"
"12/31/2023","16,758.2","16,852.9","16,894.5","16,690.5","","-0.56%"
"12/24/2023","16,852.9","16,770.5","16,933.6","16,770.5","","0.49%"
"12/17/2023","16,770.5","16,609.8","16,827.0","16,532.8","","0.97%"
"12/10/2023","16,609.8","16,207.8","16,774.1","16,194.9","","2.48%"
"12/03/2023","16,207.8","16,263.8","16,272.9","16,081.8","","-0.34%"
"11/26/2023","16,263.8","15,983.8","16,271.7","15,897.5","","1.75%"
"11/19/2023","15,983.8","15,813.5","15,998.3","15,782.5","","1.08%"
"11/12/2023","15,813.5","15,388.4","15,848.5","15,321.5","","2.76%"
"11/05/2023","15,388.4","15,475.2","15,523.8","15,207.6","","-0.56%"
"10/29/2023","15,475.2","14,675.8","15,539.9","14,675.8","","5.45%"
"10/22/2023","14,675.8","15,033.3","15,086.1","14,638.4","","-2.38%"
"10/15/2023","15,033.3","15,323.7","15,618.9","15,031.6","","-1.90%"
"10/08/2023","15,323.7","15,214.0","15,524.9","15,166.5","","0.72%"
"10/01/2023","15,214.0","15,398.2","15,398.2","14,925.0","","-1.20%"
"09/24/2023","15,398.2","15,569.5","15,597.6","15,288.5","","-1.10%"
"09/17/2023","15,569.5","15,973.7","16,029.8","15,561.8","","-2.53%"
"09/10/2023","15,973.7","15,879.0","16,105.9","15,879.0","","0.60%"
"09/03/2023","15,879.0","16,091.8","16,096.5","15,811.7","","-1.32%"
"08/27/2023","16,091.8","15,766.9","16,152.4","15,766.9","","2.06%"
"08/20/2023","15,766.9","15,750.2","15,894.3","15,632.6","","0.11%"
"08/13/2023","15,750.2","16,143.4","16,143.4","15,626.9","","-2.44%"
"08/06/2023","16,143.4","16,071.1","16,319.9","16,025.4","","0.45%"
